127.0.0.1 - - [09/Oct/2014:05:45:13 +0700] "GET /index.php HTTP/1.1" 200 1925
127.0.0.1 - - [09/Oct/2014:05:45:14 +0700] "GET /favicon.ico HTTP/1.1" 404 209
127.0.0.1 - - [09/Oct/2014:05:45:21 +0700] "GET / HTTP/1.1" 200 1925
127.0.0.1 - - [09/Oct/2014:05:45:39 +0700] "GET /welcome HTTP/1.1" 200 1925
127.0.0.1 - - [09/Oct/2014:05:52:09 +0700] "GET /css HTTP/1.1" 301 234
127.0.0.1 - - [09/Oct/2014:05:52:09 +0700] "GET /css/ HTTP/1.1" 200 1714
127.0.0.1 - - [09/Oct/2014:05:52:09 +0700] "GET /icons/blank.gif HTTP/1.1" 403 217
127.0.0.1 - - [09/Oct/2014:05:52:09 +0700] "GET /icons/back.gif HTTP/1.1" 403 216
127.0.0.1 - - [09/Oct/2014:05:52:09 +0700] "GET /icons/text.gif HTTP/1.1" 403 216
127.0.0.1 - - [09/Oct/2014:05:53:23 +0700] "GET /css/ HTTP/1.1" 200 12
127.0.0.1 - - [09/Oct/2014:06:00:53 +0700] "GET / HTTP/1.1" 200 1925
127.0.0.1 - - [09/Oct/2014:06:07:11 +0700] "GET / HTTP/1.1" 200 10867
127.0.0.1 - - [09/Oct/2014:06:07:12 +0700] "GET /css/font-awesome.min.css HTTP/1.1" 200 21984
127.0.0.1 - - [09/Oct/2014:06:07:12 +0700] "GET /css/font-awesome.css HTTP/1.1" 200 26651
127.0.0.1 - - [09/Oct/2014:06:07:12 +0700] "GET /img/logo_m.png HTTP/1.1" 200 3369
127.0.0.1 - - [09/Oct/2014:06:07:12 +0700] "GET /css/bootstrap.css HTTP/1.1" 200 102308
127.0.0.1 - - [09/Oct/2014:06:07:12 +0700] "GET /css/reset.css HTTP/1.1" 200 457
127.0.0.1 - - [09/Oct/2014:06:07:12 +0700] "GET /css/style.css HTTP/1.1" 200 4079
127.0.0.1 - - [09/Oct/2014:06:07:12 +0700] "GET /img/app-icon-1.png HTTP/1.1" 200 7236
127.0.0.1 - - [09/Oct/2014:06:07:12 +0700] "GET /img/sponsor-logo-1.png HTTP/1.1" 200 10114
